1,david davidson,49,socialist,369.78,5108
2,priscilla steinbeck,61,democrat,111.76,2987
3,ethan allen,40,democrat,961.51,13817
4,zach van buren,71,libertarian,421.63,8822
5,gabriella young,74,independent,409.68,11798
6,zach ichabod,52,libertarian,480.76,26113
7,tom thompson,36,republican,830.34,28480
8,mike robinson,38,independent,178.64,29148
9,luke johnson,56,socialist,200.81,4255
10,oscar xylophone,74,green,265.97,24970
11,priscilla hernandez,63,green,88.07,9265
12,ethan garcia,49,socialist,610.47,24312
13,priscilla underhill,27,republican,25.91,13204
14,ulysses van buren,28,democrat,816.27,16427
15,alice xylophone,65,socialist,328.95,2294
16,calvin thompson,45,libertarian,721.99,9257
17,gabriella brown,29,socialist,509.58,22119
18,priscilla falkner,21,libertarian,218.74,23505
19,oscar ichabod,55,independent,986.78,342
20,zach polk,48,socialist,112.84,13081
21,quinn ovid,18,democrat,176.14,18270
22,katie carson,50,socialist,277.82,7032
23,holly polk,70,libertarian,167.83,29335
24,luke robinson,27,republican,211.30,8332
25,priscilla xylophone,60,libertarian,235.17,25314
26,yuri johnson,38,green,933.34,5123
27,sarah johnson,64,libertarian,179.48,30
28,alice carson,37,republican,265.54,24212
29,irene zipper,57,independent,676.44,7558
30,nick king,23,republican,234.31,17642
31,priscilla ovid,59,green,123.61,27946
32,ulysses hernandez,44,socialist,196.10,20236
33,xavier underhill,26,democrat,135.40,13251
34,victor ellison,34,libertarian,326.18,2269
35,bob polk,58,independent,538.05,18266
36,gabriella davidson,48,green,113.42,21508
37,katie miller,68,democrat,89.46,1796
38,mike young,18,independent,218.93,26104
39,calvin quirinius,31,socialist,902.62,21343
40,holly laertes,23,socialist,473.35,24257
41,yuri allen,30,republican,762.35,17603
42,david davidson,75,republican,381.55,11838
43,victor steinbeck,29,republican,877.71,18713
44,david young,34,republican,481.15,20512
45,luke allen,66,libertarian,650.09,21466
46,zach king,37,green,455.66,452
47,alice garcia,45,libertarian,414.21,19047
48,tom white,46,republican,461.09,13899
49,fred falkner,70,libertarian,837.13,18819
50,david underhill,52,socialist,596.75,23117
51,mike robinson,76,green,362.57,18386
52,irene zipper,45,republican,483.71,24398
53,oscar brown,73,republican,244.54,2987
54,quinn quirinius,62,socialist,136.11,13536
55,quinn robinson,58,green,916.97,29153
56,ethan ichabod,39,green,587.06,28636
57,yuri carson,75,socialist,644.90,10663
58,gabriella young,49,libertarian,409.93,18317
59,fred steinbeck,43,independent,157.17,7958
60,ethan underhill,35,green,440.57,3781
61,jessica johnson,32,socialist,689.18,26224
62,sarah steinbeck,33,republican,723.97,27120
63,mike robinson,57,libertarian,96.40,3015
64,rachel polk,40,green,282.07,17420
65,calvin brown,46,democrat,321.42,1244
66,victor steinbeck,74,socialist,513.06,16344
67,sarah nixon,57,republican,7.44,8107
68,victor quirinius,40,democrat,408.24,22990
69,priscilla steinbeck,70,democrat,804.97,15546
70,wendy garcia,26,socialist,814.49,19865
71,zach ellison,63,democrat,382.64,1475
72,jessica johnson,70,independent,418.04,218
73,alice robinson,38,independent,152.01,16539
74,quinn thompson,68,independent,202.21,27980
75,zach young,73,republican,684.82,14766
76,yuri miller,18,republican,796.23,22833
77,holly hernandez,72,socialist,33.78,4170
78,jessica polk,75,socialist,326.30,1122
79,luke davidson,22,independent,66.87,9211
80,katie underhill,29,green,280.52,11388
81,bob carson,61,green,254.17,29858
82,gabriella van buren,77,republican,167.70,8132
83,ulysses ellison,53,democrat,477.04,13608
84,oscar davidson,66,democrat,781.13,7390
85,nick steinbeck,72,green,592.61,18998
86,bob xylophone,48,socialist,52.85,29937
87,yuri white,19,green,24.84,1330
88,mike polk,44,libertarian,415.52,6165
89,mike davidson,24,democrat,264.91,18245
90,rachel young,27,libertarian,376.27,18323
91,victor johnson,42,libertarian,159.22,11633
92,zach xylophone,75,green,483.64,9893
93,gabriella johnson,69,libertarian,411.71,696
94,victor garcia,67,republican,850.97,6186
95,priscilla allen,42,socialist,106.41,3783
96,nick ovid,49,libertarian,940.56,9056
97,ethan laertes,61,libertarian,903.82,24282
98,yuri underhill,52,socialist,947.75,10081
99,bob carson,70,socialist,128.78,11202
100,oscar carson,77,socialist,123.56,213
101,bob johnson,57,green,352.95,1228
102,alice brown,70,socialist,993.67,28259
103,yuri steinbeck,41,republican,499.33,16729
104,quinn ellison,70,democrat,159.67,10429
105,alice miller,74,green,533.07,19283
106,priscilla quirinius,59,democrat,178.48,27390
107,xavier davidson,60,libertarian,637.92,9368
108,alice steinbeck,51,socialist,617.33,23994
109,zach nixon,39,republican,454.24,8567
110,fred davidson,41,republican,464.82,19199
111,alice falkner,31,libertarian,626.20,7428
112,calvin quirinius,34,republican,572.32,25087
113,gabriella robinson,77,green,85.38,1344
114,quinn falkner,37,republican,113.89,13871
115,mike miller,68,socialist,307.08,22864
116,xavier zipper,58,green,333.24,990
117,ulysses ovid,41,republican,196.26,15831
118,alice robinson,70,socialist,222.70,715
119,calvin nixon,53,independent,382.91,6780
120,alice ichabod,47,libertarian,615.98,14114
121,tom thompson,67,green,981.09,19225
122,luke brown,26,libertarian,322.52,7860
